"","Num","Image1","Image2","Image3","DateTimeOriginal_Img1","CamSD","CamNum","SD_Num","Event"
"1",1,"C024_SD100_0001_test.JPG","C024_SD100_0002_test.JPG","NA","2019-09-20 04:15:16","C024_SD100","C024","SD100",1
"2",2,"C024_SD100_0004_test.JPG","C024_SD100_0005_test.JPG","C024_SD100_0006_test.JPG","2019-09-21 03:06:11","C024_SD100","C024","SD100",2
"3",3,"C024_SD100_0007_test.JPG","C024_SD100_0008_test.JPG","C024_SD100_0009_test.JPG","2019-09-21 04:39:02","C024_SD100","C024","SD100",3
"4",4,"C024_SD100_0011_test.JPG","C024_SD100_0012_test.JPG","NA","2019-09-21 10:31:30","C024_SD100","C024","SD100",4
"5",5,"C024_SD100_0013_test.JPG","C024_SD100_0014_test.JPG","C024_SD100_0015_test.JPG","2019-09-22 15:19:50","C024_SD100","C024","SD100",5
